"","country.code","asciiname","admin1.code"
"1557585","SE","Vaestra Goetalands laen","28"
"1571330","SH","Ascension","01"
"1571375","SH","Tristan da Cunha","03"
"1571858","SH","Saint Helena","02"
"1572036","SI","Obcina Zalec","N5"
"1572050","SI","Zagorje ob Savi","E7"
"1572107","SI","Vrhnika","E5"
"1572346","SI","Obcina Trzic","D5"
"1572382","SI","Trebnje","D4"
"1572392","SI","Trbovlje","D3"
"1572427","SI","Obcina Tolmin","D2"
"1572430","SI","Velenje","D7"
"1572750","SI","Obcina Smarje pri Jelsah","C5"
"1572760","SI","Slovenske Konjice","C4"
"1572764","SI","Slovenska Bistrica","L8"
"1572766","SI","Slovenj Gradec","C2"
"1572804","SI","Obcina Skofja Loka","B9"
"1572823","SI","Obcina Sezana","B7"
"1572826","SI","Sevnica","B6"
"1572845","SI","Obcina Sentjur","L7"
"1572994","SI","Ribnica","L1"
"1573078","SI","Radovljica","A3"
"1573090","SI","Radlje ob Dravi","A2"
"1573111","SI","Ptuj","K7"
"1573201","SI","Postojna","94"
"1573377","SI","Piran","J9"
"1573459","SI","Obcina Ormoz","87"
"1573505","SI","Mestna Obcina Novo mesto","J7"
"1573523","SI","Nova Gorica","84"
"1573565","SI","Murska Sobota","80"
"1573580","SI","Mozirje","79"
"1573652","SI","Metlika","73"
"1573698","SI","Maribor","J2"
"1573853","SI","Logatec","64"
"1573865","SI","Ljutomer","I6"
"1573892","SI","Litija","I5"
"1573942","SI","Lenart","I3"
"1573961","SI","Obcina Lasko","57"
"1573998","SI","Obcina Krsko","54"
"1574050","SI","Kranj","52"
"1574104","SI","Koper","50"
"1574139","SI","Obcina Kocevje","H7"
"1574198","SI","Kamnik","H6"
"1574245","SI","Jesenice","H4"
"1574305","SI","Izola","40"
"1574325","SI","Ilirska Bistrica","38"
"1574336","SI","Idrija","36"
"1574367","SI","Hrastnik","34"
"1574412","SI","Grosuplje","32"
"1574495","SI","Gornja Radgona","29"
"1574687","SI","Dravograd","25"
"1574708","SI","Obcina Domzale","G7"
"1574872","SI","Obcina Crnomelj","17"
"1574936","SI","Cerknica","13"
"1574948","SI","Celje","11"
"1575050","SI","Obcina Brezice","08"
"1575236","SI","Obcina Ajdovscina","01"
"1575873","SI","Hrpelje-Kozina","35"
"1575874","SI","Obcina Divaca","19"
"1575875","SI","Pivka","91"
"1575876","SI","Obcina Loska Dolina","I7"
"1575877","SI","Obcina Loski Potok","66"
"1575878","SI","Osilnica","88"
"1575879","SI","Obcina Velike Lasce","D8"
"1575880","SI","Obcina Skofljica","C1"
"1575881","SI","Ig","37"
"1575882","SI","Brezovica","09"
"1575883","SI","Borovnica","05"
"1575884","SI","Vipava","E1"
"1575885","SI","Komen","49"
"1575886","SI","Miren-Kostanjevica","J5"
"1575887","SI","Brda","07"
"1575888","SI","Kanal","44"
"1575889","SI","Obcina Ziri","F2"
"1575890","SI","Cerkno","14"
"1575891","SI","Obcina Zelezniki","F1"
"1575892","SI","Gorenja Vas-Poljane","27"
"1575893","SI","Dobrova-Polhov Gradec","G4"
"1575894","SI","Obcina Kobarid","46"
"1575895","SI","Obcina Bovec","06"
"1575896","SI","Bohinj","04"
"1575897","SI","Obcina Bled","03"
"1575898","SI","Naklo","82"
"1575899","SI","Kranjska Gora","53"
"1575900","SI","Preddvor","K5"
"1575901","SI","Cerklje na Gorenjskem","12"
"1575902","SI","Obcina Sencur","B2"
"1575903","SI","Vodice","E3"
"1575904","SI","Medvode","71"
"1575905","SI","Obcina Menges","72"
"1575906","SI","Dol pri Ljubljani","22"
"1575907","SI","Obcina Moravce","77"
"1575908","SI","Gornji Grad","30"
"1575909","SI","Obcina Luce","I9"
"1575910","SI","Obcina Ravne na Koroskem","K8"
"1575911","SI","Obcina Mezica","74"
"1575912","SI","Muta","81"
"1575913","SI","Vuzenica","E6"
"1575914","SI","Obcina Crna na Koroskem","16"
"1575915","SI","Ljubno","62"
"1575916","SI","Obcina Sostanj","C7"
"1575917","SI","Obcina Smartno ob Paki","C6"
"1575918","SI","Lukovica","68"
"1575919","SI","Obcina Radece","99"
"1575920","SI","Obcina Ivancna Gorica","39"
"1575921","SI","Dobrepolje","20"
"1575922","SI","Obcina Semic","B1"
"1575923","SI","Obcina Sentjernej","B4"
"1575924","SI","Obcina Skocjan","B8"
"1575925","SI","Obcina Store","C9"
"1575926","SI","Vojnik","N3"
"1575927","SI","Vitanje","E2"
"1575928","SI","Obcina Zrece","F3"
"1575929","SI","Mislinja","76"
"1575930","SI","Obcina Ruse","L3"
"1575931","SI","Kungota","55"
"1575932","SI","Obcina Sentilj","B3"
"1575933","SI","Pesnica","89"
"1575934","SI","Duplek","26"
"1575938","SI","Obcina Race-Fram","98"
"1575939","SI","Obcina Starse","C8"
"1575940","SI","Obcina Kidricevo","45"
"1575941","SI","Obcina Majsperk","J1"
"1575942","SI","Videm","N2"
"1575943","SI","Obcina Rogaska Slatina","A7"
"1575944","SI","Rogatec","A8"
"1575945","SI","Obcina Podcetrtek","92"
"1575946","SI","Kozje","51"
"1575947","SI","Obcina Gorisnica","28"
"1575948","SI","Obcina Zavrc","E9"
"1575949","SI","Dornava","24"
"1575950","SI","Obcina Jursinci","42"
"1575951","SI","Obcina Sveti Jurij ob Scavnici","D1"
"1575952","SI","Radenci","A1"
"1575953","SI","Puconci","97"
"1575954","SI","Obcina Rogasovci","A6"
"1575955","SI","Kuzma","I2"
"1575956","SI","Gornji Petrovci","31"
"1575957","SI","Moravske Toplice","78"
"1575958","SI","Kobilje","47"
"1575959","SI","Beltinci","02"
"1575960","SI","Obcina Turnisce","D6"
"1575961","SI","Odranci","86"
"1575962","SI","Obcina Crensovci","15"
"1575963","SI","Nazarje","83"
"1575964","SI","Mestna Obcina Ljubljana","61"
"1576077","SI","Obcina Zirovnica","N7"
"1576078","SI","Jezersko","H5"
"1576079","SI","Obcina Solcava","M2"
"1576080","SI","Komenda","H8"
"1576081","SI","Horjul","H3"
"1576082","SI","Obcina Sempeter-Vrtojba","L6"
"1576083","SI","Bloke","F6"
"1576084","SI","Obcina Sodrazica","M1"
"1576085","SI","Trzin","M8"
"1576086","SI","Prevalje","K6"
"1576087","SI","Vransko","N4"
"1576088","SI","Tabor","M5"
"1576089","SI","Obcina Braslovce","F7"
"1576090","SI","Polzela","K3"
"1576091","SI","Prebold","K4"
"1576092","SI","Kostel","H9"
"1576093","SI","Obcina Zuzemberk","N8"
"1576094","SI","Dolenjske Toplice","G6"
"1576095","SI","Obcina Mirna Pec","J6"
"1576096","SI","Bistrica ob Sotli","F5"
"1576097","SI","Dobje","G2"
"1576098","SI","Dobrna","G3"
"1576099","SI","Oplotnica","J8"
"1576100","SI","Podvelka","K2"
"1576101","SI","Ribnica na Pohorju","L2"
"1576102","SI","Lovrenc na Pohorju","I8"
"1576103","SI","Selnica ob Dravi","L5"
"1576104","SI","Obcina Hoce-Slivnica","H1"
"1576105","SI","Obcina Miklavz na Dravskem Polju","J4"
"1576106","SI","Hajdina","G9"
"1576107","SI","Obcina Zetale","N6"
"1576108","SI","Podlehnik","K1"
"1576109","SI","Markovci","J3"
"1576110","SI","Destrnik","G1"
"1576111","SI","Obcina Trnovska vas","M7"
"1576112","SI","Obcina Sveti Andraz v Slovenskih Goricah","M4"
"1576113","SI","Cerkvenjak","F9"
"1576114","SI","Benedikt","F4"
"1576115","SI","Sveta Ana","M3"
"1576116","SI","Obcina Krizevci","I1"
"1576117","SI","Obcina Verzej","N1"
"1576118","SI","Velika Polana","M9"
"1576119","SI","Lendava","I4"
"1576120","SI","Dobrovnik","G5"
"1576121","SI","Obcina Tisina","M6"
"1576122","SI","Cankova","F8"
"1576123","SI","Grad","G8"
"1576124","SI","Hodos","H2"
"1576125","SI","Obcina Razkrizje","K9"
"1576126","SI","Obcina Smartno pri Litiji","L9"
"1576127","SI","Obcina Salovci","L4"
"1576467","SI","Obcina Apace","N9"
"1576468","SI","Cirkulane","O1"
"1576469","SI","Kostanjevica na Krki","O3"
"1576470","SI","Log-Dragomer","O4"
"1576471","SI","Makole","O5"
"1576472","SI","Mokronog-Trebelno","O7"
"1576473","SI","Obcina Poljcane","O8"
"1576474","SI","Obcina Recica ob Savinji","O9"
"1576475","SI","Obcina Rence-Vogrsko","P1"
"1576476","SI","Obcina Sredisce ob Dravi","P4"
"1576477","SI","Obcina Straza","P5"
"1576478","SI","Sveta Trojica v Slovenskih Goricah","P6"
"1576479","SI","Obcina Sveti Tomaz","P8"
"1576480","SI","Obcina Sentrupert","P2"
"1576481","SI","Obcina Smarjeske Toplice","P3"
"1576485","SI","Sveti Jurij v Slovenskih Goricah","P7"
"1576523","SI","Gorje","O2"
"1579951","SI","Ankaran","P9"
"1579952","SI","Mirna","O6"
"1585141","SJ","Jan Mayen","22"
"1585504","SJ","Svalbard","21"
"1586557","TJ","Districts of Republican Subordination","RR"
"1586558","TJ","Dushanbe","04"
"1587201","TK","Nukunonu","N"
"1587212","TK","Fakaofo","F"
"1587216","TK","Atafu","A"
"1587311","TL","Viqueque","VI"
"1587381","TL","Manufahi","MF"
"1587383","TL","Manatuto","MT"
"1587400","TL","Liquica","LI"
"1587405","TL","Lautein","LA"
"1587424","TL","Kovalima","CO"
"1587451","TL","Ermera","ER"
"1587454","TL","Dili","DI"
"1587469","TL","Bobonaro","BO"
"1587480","TL","Baucau","BA"
"1587501","TL","Oecusse","OE"
"1587505","TL","Ainaro","AN"
"1587507","TL","Aileu","AL"
"1596347","UA","Zhytomyrs'ka Oblast'","27"
"1597095","UA","Zakarpattia Oblast","25"
"1597819","UA","Volyns'ka Oblast'","24"
"1598306","UA","Vinnyts'ka Oblast'","23"
"1600306","UA","Ternopil's'ka Oblast'","22"
"1600828","UA","Sums'ka Oblast'","21"
"1601871","UA","Rivnens'ka Oblast'","19"
"1602347","UA","Poltavs'ka Oblast'","18"
"1605165","UA","Mykolayivs'ka Oblast'","16"
"1606898","UA","L'vivs'ka Oblast'","15"
"1607099","UA","Kyiv Oblast","13"
"1607100","UA","Misto Kyyiv","12"
"1607318","UA","Autonomous Republic of Crimea","11"
"1608763","UA","Kirovohrads'ka Oblast'","10"
"1609531","UA","Ivano-Frankivs'ka Oblast'","06"
"1611342","UA","Donets'ka Oblast'","05"
"1611555","UA","Dnipropetrovska Oblast'","04"
"1612306","UA","Chernivtsi Oblast'","03"
"1612320","UA","Chernihivs'ka Oblast'","02"
"1612388","UA","Cherkas'ka Oblast'","01"
"1631392","UG","Central Region","C"
"1634984","UG","Eastern Region","E"
"1634985","UG","Northern Region","N"
"1634986","UG","Western Region","W"
"1649454","UM","Wake Island","450"
"1649465","UM","Navassa Island","350"
"1649476","UM","Baker Island","050"
"1649491","UM","Howland Island","100"
"1649495","UM","Jarvis Island","150"
"1649498","UM","Johnston Atoll","200"
"1649505","UM","Kingman Reef","250"
"1649512","UM","Midway Islands","300"
"1649521","UM","Palmyra Atoll","400"
"1703905","US","Arkansas","AR"
"1742020","US","District of Columbia","DC"
"1746108","US","Delaware","DE"
"1759575","US","Florida","FL"
"1800651","US","Georgia","GA"
"1877263","US","Kansas","KS"
"1935109","US","Louisiana","LA"
"1964884","US","Maryland","MD"
"2001491","US","Missouri","MO"
"2038968","US","Mississippi","MS"
"2084796","US","North Carolina","NC"
"2146569","US","Oklahoma","OK"
"2192629","US","South Carolina","SC"
"2257256","US","Tennessee","TN"
"2330967","US","Texas","TX"
"2419437","US","West Virginia","WV"
"2422329","US","Alabama","AL"
"2424283","US","Connecticut","CT"
"2454611","US","Iowa","IA"
"2489198","US","Illinois","IL"
"2514151","US","Indiana","IN"
"2563039","US","Maine","ME"
"2593716","US","Michigan","MI"
"2629220","US","Minnesota","MN"
"2664877","US","Nebraska","NE"
"2681290","US","New Hampshire","NH"
"2692832","US","New Jersey","NJ"
"2719640","US","New York","NY"
"2756310","US","Ohio","OH"
"2814990","US","Rhode Island","RI"
"2832870","US","Vermont","VT"
"2869977","US","Wisconsin","WI"
"2923164","US","California","CA"
"3007642","US","Colorado","CO"
"3070924","US","New Mexico","NM"
"3098821","US","Nevada","NV"
"3138534","US","Utah","UT"
"3141238","US","Arizona","AZ"
"3185685","US","Idaho","ID"
"3255807","US","Montana","MT"
"3279403","US","North Dakota","ND"
"3332778","US","Oregon","OR"
"3357567","US","South Dakota","SD"
"3403216","US","Washington","WA"
"3431462","US","Wyoming","WY"
"3443476","US","Hawaii","HI"
"3466561","US","Alaska","AK"
"3468188","US","Kentucky","KY"
"3468189","US","Massachusetts","MA"
"3468190","US","Pennsylvania","PA"
"3468191","US","Virginia","VA"
"3887809","UY","Departamento de Treinta y Tres","19"
"3888062","UY","Departamento de Tacuarembo","18"
"3888083","UY","Departamento de Soriano","17"
"3888672","UY","Departamento de San Jose","16"
"3888737","UY","Departamento de Salto","15"
"3888797","UY","Departamento de Rocha","14"
"3888806","UY","Departamento de Rivera","13"
"3888815","UY","Departamento de Rio Negro","12"
"3889267","UY","Departamento de Paysandu","11"
"3889594","UY","Departamento de Montevideo","10"
"3889912","UY","Departamento de Maldonado","09"
"3890027","UY","Departamento de Lavalleja","08"
"3890602","UY","Departamento de Florida","07"
"3890605","UY","Departamento de Flores","06"
"3890736","UY","Departamento de Durazno","05"
"3891038","UY","Departamento de Colonia","04"
"3891186","UY","Departamento de Cerro Largo","03"
"3891422","UY","Departamento de Canelones","02"
"3891765","UY","Departamento de Artigas","01"
"3895630","UZ","Karakalpakstan","09"
"3895829","UZ","Surxondaryo Viloyati","12"
"3895830","UZ","Samarqand Viloyati","10"
"3895831","UZ","Qashqadaryo Province","08"
"3895832","UZ","Bukhara Province","02"
"3895844","UZ","Toshkent Viloyati","14"
"3895845","UZ","Toshkent Shahri","13"
"3895846","UZ","Sirdaryo","16"
"3895847","UZ","Navoiy Province","07"
"3895848","UZ","Namangan Province","06"
"3895849","UZ","Xorazm Viloyati","05"
"3895850","UZ","Jizzakh Province","15"
"3895851","UZ","Fergana","03"
"3895852","UZ","Andijan","01"
"3902899","VC","Parish of Saint Patrick","05"
"3902900","VC","Parish of Saint George","04"
"3902902","VC","Parish of Saint David","03"
"3902903","VC","Parish of Saint Andrew","02"
"3902973","VC","Grenadines","06"
"3903015","VC","Parish of Charlotte","01"
"3909373","VE","Estado Zulia","23"
"3909545","VE","Estado Yaracuy","22"
"3910305","VE","Estado Trujillo","21"
"3910882","VE","Estado Tachira","20"
"3910984","VE","Estado Sucre","19"
"3914256","VE","Estado Portuguesa","18"
"3915769","VE","Estado Nueva Esparta","17"
"3916404","VE","Estado Monagas","16"
"3916493","VE","Miranda","15"
"3916606","VE","Estado Merida","14"
"3920825","VE","Estado Lara","13"
"3924291","VE","Estado Guarico","12"
"3925116","VE","Dependencias Federales","24"
"3925117","VE","Distrito Capital","25"
"3925143","VE","Estado Falcon","11"
"3928800","VE","Delta Amacuro","09"
"3929643","VE","Estado Cojedes","08"
"3931003","VE","Estado Carabobo","07"
"3932345","VE","Estado Bolivar","06"
"3932779","VE","Estado Barinas","05"
"3933341","VE","Estado Aragua","04"
"3933381","VE","Estado Apure","03"
"3933428","VE","Estado Anzoategui","02"
"3933530","VE","Estado Amazonas","01"
"3970417","VE","Estado Vargas","26"
"3974895","VI","Saint Croix Island","010"
"3974896","VI","Saint John Island","020"
"3974897","VI","Saint Thomas Island","030"
"3975026","VN","Tinh Nghe An","58"
"3975027","VN","Tinh Ninh Binh","59"
"3975028","VN","Tinh Ninh Thuan","60"
"3975029","VN","Tinh Soc Trang","65"
"3975032","VN","Tinh Tra Vinh","67"
"3975033","VN","Tinh Tuyen Quang","68"
"3975034","VN","Tinh Vinh Long","69"
"3975035","VN","Tinh Yen Bai","70"
"3977462","VN","Tinh Lao Cai","90"
"3979061","VN","Tinh Quang Tri","64"
"3979086","VN","Tinh Quang Ninh","30"
"3979097","VN","Tinh Quang Ngai","63"
"3979166","VN","Tinh Quang Binh","62"
"3980110","VN","Tinh Phu Yen","61"
"3982837","VN","Tinh Hoa Binh","53"
"3985982","VN","Long An","24"
"3986809","VN","Tinh Lang Son","39"
"3988047","VN","Tinh Lam GJong","23"
"3988118","VN","Tinh Lai Chau","89"
"3989157","VN","Tinh Kien Giang","21"
"3989779","VN","Tinh Khanh Hoa","54"
"3990711","VN","Ho Chi Minh City","20"
"3990829","VN","Tinh Ha Tinh","52"
"3991154","VN","Tinh Ha Giang","50"
"3991209","VN","Gia Lai","49"
"3991247","VN","Thanh Pho Ha Noi","44"
"3991304","VN","Thanh Pho Can Tho","87"
"3991412","VN","Thanh Pho Hai Phong","13"
"3991988","VN","Tinh Binh Thuan","47"
"3992657","VN","Tinh GJong Thap","09"
"3992813","VN","Tinh GJong Nai","43"
"3994237","VN","GJak Lak Province","88"
"3994594","VN","Tinh Ba Ria-Vung Tau","45"
"3996219","VN","Tinh Cao Bang","05"
"3997887","VN","Tinh Binh GJinh","46"
"3997990","VN","Tinh Ben Tre","03"
"4004420","VN","An Giang","01"
"4005181","VN","Dak Nong","91"
"4005293","VN","Tinh Dien Bien","92"
"4005388","VN","Tinh Bac Ninh","74"
"4005395","VN","Tinh Bac Giang","71"
"4005405","VN","Thanh Pho GJa Nang","78"
"4005412","VN","Tinh Binh Duong","75"
"4005417","VN","Tinh Binh Phuoc","76"
"4005434","VN","Tinh Thai Nguyen","85"
"4005453","VN","Tinh Quang Nam","84"
"4005514","VN","Tinh Phu Tho","83"
"4005563","VN","Tinh Nam GJinh","82"
"4005574","VN","Tinh Ha Nam","80"
"4005605","VN","Tinh Bac Kan","72"
"4005611","VN","Tinh Bac Lieu","73"
"4005614","VN","Tinh Ca Mau","77"
"4005622","VN","Tinh Hai Duong","79"
"4005635","VN","Tinh Hung Yen","81"
"4005644","VN","Tinh Vinh Phuc","86"
"4005890","VN","Hau Giang Province","93"
"4036428","VU","Tafea Province","15"
"4036586","VU","Sanma Province","13"
"4039099","VU","Torba Province","07"
"4039396","VU","Malampa Province","16"
"4039397","VU","Penama Province","17"
"4039398","VU","Shefa Province","18"
"4039730","WF","Uvea","98613"
"4039747","WF","Sigave","98612"
"4039854","WF","Alo","98611"
"4040360","WS","Vaisigano","11"
"4040388","WS","Va'a-o-Fonoti","06"
"4040419","WS","Tuamasaga","10"
"4040478","WS","Satupa'itea","09"
"4040574","WS","Palauli","08"
"4040711","WS","Gagaifomauga","07"
"4040712","WS","Gaga'emauga","05"
"4040776","WS","Fa'asaleleaga","04"
"4040793","WS","Atua","03"
"4040814","WS","Aiga-i-le-Tai","02"
"4040823","WS","A'ana","01"
"4047042","XK","Ferizaj District","10096138"
"4047043","XK","Gjakova District","10096859"
"4047044","XK","Gjilan District","10097357"
"4047045","XK","Mitrovica District","10097358"
"4047046","XK","Pec District","10097359"
"4047047","XK","Pristina District","10097360"
"4047048","XK","Prizren District","10097361"
"4048474","YE","Muhafazat Ta`izz","25"
"4049183","YE","Shabwah","05"
"4049377","YE","Sanaa","16"
"4049577","YE","Muhafazat Sa'dah","15"
"4049774","YE","Muhafazat Raymah","27"
"4051198","YE","Muhafazat Ma'rib","14"
"4051430","YE","Al Mahwit","10"
"4052444","YE","Muhafazat al Jawf","21"
"4053626","YE","Muhafazat Hadramawt","04"
"4054398","YE","Muhafazat Dhamar","11"
"4057185","YE","Al Mahrah","03"
"4057612","YE","Muhafazat al Hudaydah","08"
"4058030","YE","Al Bayda Governorate","20"
"4058599","YE","Muhafazat 'Adan","02"
"4058610","YE","Muhafazat Abyan","01"
"4062732","YE","Muhafazat ad Dali'","18"
"4062733","YE","Muhafazat 'Amran","19"
"4062734","YE","Muhafazat Hajjah","22"
"4062735","YE","Ibb","23"
"4062736","YE","Muhafazat Lahij","24"
"4062757","YE","Amanat Al Asimah","26"
"4098714","YE","Socotra","28"
"4145282","YT","Acoua","97601"
"4145283","YT","Bandraboua","97602"
"4145284","YT","Bandrele","97603"
"4145285","YT","Boueni","97604"
"4145286","YT","Chiconi","97605"
"4145287","YT","Chirongui","97606"
"4145288","YT","Dembeni","97607"
"4145289","YT","Dzaoudzi","97608"
"4145290","YT","Kani-Keli","97609"
"4145291","YT","Koungou","97610"
"4145292","YT","Mamoudzou","97611"
"4145293","YT","Mtsamboro","97612"
"4145294","YT","M'Tsangamouji","97613"
"4145295","YT","Ouangani","97614"
"4145296","YT","Pamandzi","97615"
"4145297","YT","Sada","97616"
"4145298","YT","Tsingoni","97617"
"4176572","ZA","Free State","03"
"4181060","ZA","KwaZulu-Natal","02"
"4232984","ZA","Eastern Cape","05"
"4232985","ZA","Gauteng","06"
"4232986","ZA","Mpumalanga","07"
"4232987","ZA","Northern Cape","08"
"4232988","ZA","Limpopo","09"
"4232989","ZA","North West","10"
"4232990","ZA","Western Cape","11"
"4251440","ZM","Western Province","01"
"4252271","ZM","Southern Province","07"
"4255890","ZM","North-Western Province","06"
"4255897","ZM","Northern Province","05"
"4264417","ZM","Lusaka Province","09"
"4265133","ZM","Luapula Province","04"
"4272664","ZM","Eastern Province","03"
"4272800","ZM","Copperbelt Province","08"
"4276337","ZM","Central Province","02"
"4277139","ZM","Muchinga Province","10"
"4284777","ZW","Midlands Province","02"
"4285405","ZW","Matabeleland South Province","07"
"4285406","ZW","Matabeleland North Province","06"
"4285419","ZW","Masvingo Province","08"
"4285499","ZW","Mashonaland West Province","05"
"4285500","ZW","Mashonaland East Province","04"
"4285501","ZW","Mashonaland Central Province","03"
"4286015","ZW","Manicaland Province","01"
"4294566","ZW","Bulawayo Province","09"
"4294567","ZW","Harare Province","10"
