Country,ADM1,Type,Affected Population Share,Start,End,Source,Comment
France,,Ban of Groups Gatherings > 5000,1,5.3.2020,9.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,,Ban of Groups Gatherings > 1000,1,10.3.2020,13.3.2020,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Oise,Ban of Groups Gatherings > 50,1,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Oise,School Closings,1,9.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Haut-Rhin,School Closings,1,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Haut-Rhin,Ban of Groups Gatherings > 50,1,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Corse,School Closings,1,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
France,Corse,Ban of Groups Gatherings > 50,1,6.3.2020,,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France#Lutte_contre_la_propagation,
Italy,Veneto,University Closings,1,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,Lombardy,University Closings,1,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,Trentino Alto-adige,University Closings,1,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,Piedmont,University Closings,1,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,Emilia-Romagna,University Closings,1,23.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
Italy,,School Closings,1,4.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Liguria,School Closings,1,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Trentino,School Closings,1,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Friuli Venezia Giulia,School Closings,1,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Abruzzo,School Closings,1,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Marche,School Closings,1,23.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Apulia,School Closings,1,27.2.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Lombardy,School Closings,1,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Veneto,School Closings,1,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Emilia-Romagna,School Closings,1,1.3.2020,,https://en.m.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education,
Italy,Lombardy,"Curfew (mild, only private public life)",1,8.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,"actually includes fourteen provinces in Piedmont, Veneto, Emilia-Romagna, and Marche"
Italy,,"Curfew (mild, only private public life)",1,9.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Italy,,Curfew (Lockdown of All Non-Essential Public Life),1,11.3.2020,,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown#cite_note-nyt8march-39,
Italy,,Testing only symptomatic,1,26.2.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Italy#Management,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
,,,1,,,,
