Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Germany,DE,Bremen,3,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Hamburg,4,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Hesse,5,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Lower Saxony,6,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,North Rhine-Westphalia,7,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Rhineland-Palatinate,8,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saarland,9,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saxony-Anhalt,14,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Schleswig-Holstein,10,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Thuringia,15,"1,00",Daycare Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Baden-Württemberg,1,"1,00",Daycare Closings,,17.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Brandenburg,11,"1,00",Daycare Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Mecklenburg-Vorpommern,12,"1,00",Daycare Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Saxony,13,"1,00",Daycare Closings,,18.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Bavaria,2,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
Germany,DE,Berlin,16,"1,00",School Closings,,16.3.2020,,https://www.tagesschau.de/inland/corona-schulschliessungen-101.html,
