"","V1"
"1","Abruzzo"
"2","Basilicata"
"3","Calabria"
"4","Campania"
"5","Emilia Romagna"
"6","Friuli Venezia Giulia"
"7","Lazio"
"8","Liguria"
"9","Lombardia"
"10","Marche"
"11","Molise"
"12","P.A. Bolzano"
"13","P.A. Trento"
"14","Piemonte"
"15","Puglia"
"16","Sardegna"
"17","Sicilia"
"18","Toscana"
"19","Umbria"
"20","Valle d'Aosta"
"21","Veneto"
